Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,23.0,2000.0,13.7,450.0,581.0,77.5,7402.0,2789.0,220.0,248.0,88.7,188.0,235.0,80.0,34.0,63.0,54.0,1.0,0.8,0.9,+0.2,7.0,25.0,13.0,2.0,43.0,Matches
2,Brenden Aaronson,us USA,"MF,FW",Union Berlin,de Bundesliga,22.0,2000.0,14.1,365.0,472.0,77.3,4890.0,1506.0,206.0,240.0,85.8,105.0,130.0,80.8,19.0,32.0,59.4,2.0,1.9,2.0,+0.1,22.0,30.0,14.0,3.0,56.0,Matches
3,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,19.0,2003.0,1.1,41.0,50.0,82.0,576.0,71.0,20.0,25.0,80.0,20.0,22.0,90.9,0.0,2.0,0.0,1.0,0.1,0.1,+0.9,1.0,4.0,2.0,0.0,5.0,Matches
4,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,17.0,2006.0,0.0,1.0,1.0,100.0,8.0,0.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35.0,1987.0,30.9,1552.0,1836.0,84.5,29618.0,9672.0,487.0,548.0,88.9,893.0,976.0,91.5,141.0,252.0,56.0,0.0,0.3,0.6,-0.3,8.0,129.0,3.0,0.0,137.0,Matches
6,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23.0,2000.0,16.9,796.0,895.0,88.9,12470.0,3008.0,393.0,433.0,90.8,330.0,360.0,91.7,41.0,54.0,75.9,0.0,0.5,1.1,-0.5,6.0,87.0,5.0,2.0,78.0,Matches
7,Nabil Aberdin,fr FRA,DF,Getafe,es La Liga,20.0,2002.0,2.0,60.0,79.0,75.9,1159.0,426.0,22.0,26.0,84.6,29.0,34.0,85.3,7.0,17.0,41.2,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,Matches
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30.0,1993.0,31.8,1551.0,1836.0,84.5,27382.0,8613.0,629.0,707.0,89.0,711.0,802.0,88.7,150.0,233.0,64.4,1.0,2.2,1.9,-1.2,30.0,188.0,23.0,3.0,194.0,Matches
9,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,20.0,2003.0,11.6,162.0,231.0,70.1,2410.0,448.0,91.0,128.0,71.1,52.0,68.0,76.5,9.0,11.0,81.8,0.0,2.0,0.9,-2.0,17.0,6.0,7.0,2.0,20.0,Matches
10,Abner,br BRA,DF,Betis,es La Liga,23.0,2000.0,15.6,615.0,797.0,77.2,9211.0,4552.0,351.0,394.0,89.1,203.0,265.0,76.6,37.0,79.0,46.8,1.0,1.0,1.0,0.0,8.0,20.0,7.0,2.0,33.0,Matches
11,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,23.0,2000.0,8.4,140.0,196.0,71.4,2025.0,599.0,70.0,95.0,73.7,53.0,66.0,80.3,6.0,8.0,75.0,0.0,0.2,1.1,-0.2,5.0,10.0,9.0,1.0,20.0,Matches
12,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,24.0,1999.0,25.7,553.0,762.0,72.6,12370.0,4872.0,141.0,164.0,86.0,302.0,339.0,89.1,99.0,225.0,44.0,0.0,0.2,0.2,-0.2,3.0,61.0,2.0,0.0,49.0,Matches
13,Tammy Abraham,eng ENG,FW,Roma,it Serie A,25.0,1997.0,2.7,19.0,40.0,47.5,231.0,75.0,14.0,25.0,56.0,4.0,9.0,44.4,0.0,1.0,0.0,0.0,0.1,0.0,-0.1,3.0,1.0,1.0,0.0,4.0,Matches
14,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35.0,1988.0,26.5,1615.0,1781.0,90.7,29326.0,9174.0,601.0,650.0,92.5,856.0,908.0,94.3,132.0,179.0,73.7,1.0,1.8,1.3,-0.8,7.0,58.0,5.0,2.0,87.0,Matches
15,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,17.0,2006.0,0.1,1.0,2.0,50.0,18.0,7.0,0.0,0.0,,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
16,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,31.0,1991.0,14.4,628.0,847.0,74.1,12126.0,4928.0,260.0,297.0,87.5,262.0,328.0,79.9,94.0,183.0,51.4,2.0,1.5,2.1,+0.5,23.0,52.0,19.0,12.0,59.0,Matches
17,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,23.0,2000.0,25.0,250.0,385.0,64.9,3676.0,786.0,125.0,185.0,67.6,89.0,126.0,70.6,14.0,29.0,48.3,1.0,1.9,1.4,-0.9,17.0,14.0,4.0,2.0,17.0,Matches
18,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,24.0,1999.0,1.3,59.0,71.0,83.1,973.0,262.0,35.0,39.0,89.7,18.0,24.0,75.0,6.0,8.0,75.0,0.0,0.1,0.0,-0.1,1.0,9.0,0.0,0.0,5.0,Matches
19,Junior Adamu,at AUT,"FW,MF",Freiburg,de Bundesliga,22.0,2001.0,1.2,18.0,30.0,60.0,181.0,36.0,15.0,17.0,88.2,1.0,9.0,11.1,0.0,1.0,0.0,0.0,0.1,0.0,-0.1,1.0,0.0,1.0,0.0,1.0,Matches
20,Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,30.0,1993.0,8.9,132.0,189.0,69.8,1883.0,483.0,73.0,94.0,77.7,44.0,64.0,68.8,5.0,9.0,55.6,2.0,2.0,1.1,0.0,12.0,16.0,3.0,0.0,18.0,Matches
21,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,25.0,1997.0,18.0,1028.0,1216.0,84.5,21010.0,7956.0,277.0,307.0,90.2,627.0,699.0,89.7,115.0,177.0,65.0,0.0,0.1,0.3,-0.1,2.0,47.0,2.0,0.0,62.0,Matches
22,Elijah Adebayo,eng ENG,FW,Luton Town,eng Premier League,25.0,1998.0,15.8,144.0,204.0,70.6,1847.0,385.0,94.0,122.0,77.0,41.0,60.0,68.3,3.0,6.0,50.0,0.0,0.7,0.4,-0.7,14.0,9.0,4.0,0.0,23.0,Matches
